lr,model_name,downstream,num_heads,num_layers,optimizer,loss,gamma,alpha,seed,warmup_steps,max_steps,clip_large_grad,mode,finetune_elmo,max_dev,mean_dev,max_train,step_trained
5e-05,bert,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,6,500,3000,True,res16,False,51.18,45.76,100.0,3000
5e-05,bert,lstm-crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,7,500,3000,True,res14,False,65.53,57.19,100.0,3000
5e-05,bert,lstm-crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,7,500,3000,True,lap14,False,64.38,53.43,100.0,3000
5e-05,bert,lstm-crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,7,500,3000,True,res16,False,62.79,51.65,100.0,3000
0.003,glove,lstm-crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,7,500,3000,False,res14,False,49.56,39.98,99.04,2600
0.003,glove,lstm,12,2,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,7,500,3000,True,res14,False,48.87,41.75,99.85,3000
0.003,glove,lstm,12,2,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,7,500,3000,True,res14,False,48.87,40.41,99.55,2400
0.001,bert,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.5,7,500,2500,True,res14,True,42.95,13.6,37.55,1900
0.0005,elmo,san,8,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.1,7,500,3000,True,res14,True,52.53,50.07,100.0,2600
0.001,elmo,san,8,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.1,7,500,3000,True,res14,True,49.84,40.78,100.0,2400
0.0001,elmo,san,8,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.1,7,500,3000,True,res14,True,48.11,45.01,100.0,3000
5e-05,elmo,san,8,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.1,7,500,3000,True,res14,True,47.66,43.16,100.0,2600
0.0005,elmo,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.1,6,500,2500,True,res14,True,58.87,50.94,99.81,2500
0.0005,elmo,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.1,6,500,2500,True,res16,True,41.07,35.36,100.0,2500
0.0005,elmo,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.1,6,500,2500,True,lap14,True,54.84,47.98,99.92,2500
